Date, Open, High, Low, Close
12/30/21, 1543.61, 1543.61, 1543.61, 1543.61
12/29/21, 1545.04, 1545.04, 1545.04, 1545.04
12/28/21, 1539.89, 1539.89, 1539.89, 1539.89
12/27/21, 1533.91, 1533.91, 1533.91, 1533.91
12/24/21, 1516.45, 1516.45, 1516.45, 1516.45
12/23/21, 1516.42, 1516.42, 1516.42, 1516.42
12/22/21, 1500.32, 1500.32, 1500.32, 1500.32
12/21/21, 1492.59, 1492.59, 1492.59, 1492.59
12/20/21, 1493.90, 1493.90, 1493.90, 1493.90
12/17/21, 1502.01, 1502.01, 1502.01, 1502.01
12/16/21, 1484.64, 1484.64, 1484.64, 1484.64
12/15/21, 1482.81, 1482.81, 1482.81, 1482.81
12/14/21, 1480.92, 1480.92, 1480.92, 1480.92
12/13/21, 1494.86, 1494.86, 1494.86, 1494.86
12/10/21, 1488.88, 1488.88, 1488.88, 1488.88
12/09/21, 1501.79, 1501.79, 1501.79, 1501.79
12/08/21, 1494.03, 1494.03, 1494.03, 1494.03
12/07/21, 1497.97, 1497.97, 1497.97, 1497.97
12/06/21, 1483.45, 1483.45, 1483.45, 1483.45
12/02/21, 1501.74, 1501.74, 1501.74, 1501.74
12/01/21, 1496.93, 1496.93, 1496.93, 1496.93
11/30/21, 1513.98, 1513.98, 1513.98, 1513.98
11/29/21, 1510.57, 1510.57, 1510.57, 1510.57
11/26/21, 1512.22, 1512.22, 1512.22, 1512.22
11/25/21, 1517.60, 1517.60, 1517.60, 1517.60
11/24/21, 1522.27, 1522.27, 1522.27, 1522.27
11/23/21, 1522.88, 1522.88, 1522.88, 1522.88
11/22/21, 1526.87, 1526.87, 1526.87, 1526.87
11/19/21, 1525.54, 1525.54, 1525.54, 1525.54
11/18/21, 1523.79, 1523.79, 1523.79, 1523.79
11/17/21, 1525.13, 1525.13, 1525.13, 1525.13
11/16/21, 1522.89, 1522.89, 1522.89, 1522.89
11/15/21, 1522.34, 1522.34, 1522.34, 1522.34
11/12/21, 1531.22, 1531.22, 1531.22, 1531.22
