Date, Open, High, Low, Close
01/21/22, 3.715, 3.715, 3.695, 3.700
01/20/22, 3.710, 3.735, 3.710, 3.715
01/19/22, 3.620, 3.710, 3.610, 3.710
01/18/22, 3.620, 3.620, 3.620, 3.620
01/17/22, 3.660, 3.665, 3.600, 3.620
01/14/22, 3.670, 3.670, 3.660, 3.660
01/13/22, 3.670, 3.670, 3.660, 3.670
01/12/22, 3.680, 3.680, 3.665, 3.670
01/11/22, 3.700, 3.700, 3.680, 3.680
01/10/22, 3.685, 3.705, 3.685, 3.700
01/07/22, 3.670, 3.700, 3.670, 3.685
01/06/22, 3.635, 3.670, 3.630, 3.670
01/05/22, 3.640, 3.645, 3.635, 3.635
01/04/22, 3.625, 3.640, 3.610, 3.640
01/03/22, 3.605, 3.625, 3.605, 3.625
12/31/21, 3.610, 3.615, 3.600, 3.605
12/30/21, 3.600, 3.610, 3.600, 3.610
12/29/21, 3.610, 3.610, 3.595, 3.600
12/28/21, 3.570, 3.610, 3.565, 3.610
12/27/21, 3.575, 3.575, 3.570, 3.570
12/24/21, 3.570, 3.580, 3.570, 3.575
12/23/21, 3.565, 3.570, 3.550, 3.570
12/22/21, 3.570, 3.570, 3.560, 3.565
12/21/21, 3.560, 3.570, 3.550, 3.570
12/20/21, 3.570, 3.575, 3.560, 3.560
12/17/21, 3.585, 3.590, 3.570, 3.570
12/16/21, 3.570, 3.590, 3.570, 3.585
12/15/21, 3.585, 3.585, 3.565, 3.570
12/14/21, 3.565, 3.585, 3.560, 3.585
12/13/21, 3.555, 3.565, 3.555, 3.565
12/10/21, 3.555, 3.560, 3.550, 3.555
12/09/21, 3.550, 3.555, 3.540, 3.555
12/08/21, 3.540, 3.560, 3.540, 3.550
12/07/21, 3.535, 3.545, 3.530, 3.540
12/06/21, 3.540, 3.540, 3.530, 3.535
12/03/21, 3.535, 3.555, 3.535, 3.540
12/02/21, 3.540, 3.555, 3.535, 3.535
12/01/21, 3.535, 3.550, 3.535, 3.540
11/30/21, 3.540, 3.540, 3.530, 3.535
11/29/21, 3.550, 3.550, 3.535, 3.540
11/26/21, 3.580, 3.580, 3.550, 3.550
11/25/21, 3.585, 3.585, 3.570, 3.580
11/24/21, 3.575, 3.590, 3.575, 3.585
11/23/21, 3.560, 3.575, 3.560, 3.575
11/22/21, 3.590, 3.590, 3.550, 3.560
11/19/21, 3.590, 3.590, 3.580, 3.590
11/18/21, 3.600, 3.610, 3.590, 3.590
11/17/21, 3.575, 3.605, 3.575, 3.600
11/16/21, 3.570, 3.580, 3.565, 3.575
11/15/21, 3.580, 3.585, 3.570, 3.570
11/12/21, 3.565, 3.600, 3.565, 3.580
11/11/21, 3.515, 3.565, 3.515, 3.565
11/10/21, 3.545, 3.580, 3.515, 3.515
11/09/21, 3.530, 3.545, 3.530, 3.545
11/08/21, 3.580, 3.580, 3.530, 3.530
11/05/21, 3.625, 3.625, 3.580, 3.580
11/03/21, 3.610, 3.660, 3.610, 3.620
11/02/21, 3.610, 3.620, 3.605, 3.610
11/01/21, 3.605, 3.635, 3.600, 3.610
10/29/21, 3.585, 3.605, 3.585, 3.605
10/28/21, 3.610, 3.610, 3.585, 3.585
10/27/21, 3.615, 3.615, 3.605, 3.610
10/26/21, 3.625, 3.630, 3.605, 3.615
10/25/21, 3.640, 3.640, 3.625, 3.625
10/22/21, 3.630, 3.640, 3.625, 3.640
10/21/21, 3.615, 3.635, 3.615, 3.630
10/20/21, 3.570, 3.620, 3.570, 3.615
10/18/21, 3.560, 3.570, 3.560, 3.570
10/15/21, 3.560, 3.560, 3.550, 3.560
10/14/21, 3.620, 3.620, 3.560, 3.560
10/13/21, 3.630, 3.630, 3.620, 3.620
10/12/21, 3.680, 3.690, 3.610, 3.630
10/11/21, 3.635, 3.690, 3.635, 3.680
10/08/21, 3.605, 3.635, 3.605, 3.635
10/07/21, 3.495, 3.605, 3.495, 3.605
10/06/21, 3.420, 3.495, 3.420, 3.495
10/05/21, 3.370, 3.420, 3.370, 3.420
10/04/21, 3.365, 3.400, 3.365, 3.370
10/01/21, 3.400, 3.400, 3.365, 3.365
09/30/21, 3.455, 3.455, 3.380, 3.400
09/29/21, 3.460, 3.465, 3.455, 3.455
09/28/21, 3.440, 3.460, 3.440, 3.460
09/27/21, 3.425, 3.440, 3.425, 3.440
09/24/21, 3.375, 3.410, 3.320, 3.320
09/23/21, 3.365, 3.380, 3.365, 3.375
09/22/21, 3.360, 3.375, 3.360, 3.365
09/21/21, 3.355, 3.375, 3.355, 3.360
09/20/21, 3.340, 3.360, 3.340, 3.355
09/17/21, 3.305, 3.340, 3.305, 3.340
09/15/21, 3.305, 3.320, 3.305, 3.305
09/14/21, 3.270, 3.305, 3.270, 3.305
09/13/21, 3.250, 3.275, 3.250, 3.270
09/10/21, 3.245, 3.250, 3.235, 3.250
09/09/21, 3.245, 3.250, 3.240, 3.245
09/08/21, 3.235, 3.245, 3.235, 3.245
09/07/21, 3.215, 3.235, 3.215, 3.235
09/06/21, 3.205, 3.215, 3.205, 3.215
09/03/21, 3.215, 3.220, 3.210, 3.210
09/02/21, 3.220, 3.225, 3.215, 3.215
09/01/21, 3.220, 3.225, 3.210, 3.220
08/30/21, 3.250, 3.250, 3.220, 3.220
08/27/21, 3.260, 3.270, 3.250, 3.250
08/26/21, 3.250, 3.260, 3.240, 3.260
08/25/21, 3.240, 3.255, 3.240, 3.250
08/24/21, 3.235, 3.245, 3.235, 3.240
08/23/21, 3.245, 3.245, 3.235, 3.235
08/20/21, 3.255, 3.255, 3.245, 3.245
08/19/21, 3.250, 3.270, 3.250, 3.255
08/18/21, 3.230, 3.250, 3.230, 3.250
08/17/21, 3.240, 3.240, 3.230, 3.230
08/16/21, 3.225, 3.250, 3.225, 3.240
08/13/21, 3.250, 3.250, 3.225, 3.225
08/12/21, 3.250, 3.270, 3.250, 3.250
08/11/21, 3.210, 3.250, 3.210, 3.250
08/09/21, 3.205, 3.210, 3.200, 3.210
08/06/21, 3.185, 3.210, 3.185, 3.205
08/05/21, 3.185, 3.185, 3.180, 3.185
08/04/21, 3.185, 3.185, 3.180, 3.185
08/03/21, 3.190, 3.195, 3.180, 3.185
08/02/21, 3.180, 3.195, 3.180, 3.190
07/30/21, 3.170, 3.190, 3.170, 3.180
07/29/21, 3.175, 3.180, 3.170, 3.170
07/28/21, 3.170, 3.175, 3.165, 3.175
07/27/21, 3.145, 3.175, 3.145, 3.170
07/26/21, 3.145, 3.150, 3.145, 3.145
07/23/21, 3.140, 3.145, 3.140, 3.145
07/22/21, 3.125, 3.140, 3.120, 3.140
07/21/21, 3.165, 3.165, 3.120, 3.125
07/19/21, 3.220, 3.220, 3.165, 3.165
07/16/21, 3.245, 3.245, 3.220, 3.220
